State,date,fips,cases,deaths,month,day
Arizona,2020-08-21,4,196925,4698,8,21
Arizona,2020-02-19,4,1,0,2,19
Arizona,2020-03-30,4,1169,20,3,30
Arizona,2020-02-18,4,1,0,2,18
Arizona,2020-05-17,4,13937,680,5,17
Arizona,2020-02-07,4,1,0,2,7
Arizona,2020-04-17,4,4507,174,4,17
Arizona,2020-05-07,4,9945,450,5,7
Arizona,2020-03-28,4,773,15,3,28
Arizona,2020-06-26,4,66676,1537,6,26
Arizona,2020-05-11,4,11380,542,5,11
Arizona,2020-04-05,4,2269,64,4,5
Arizona,2020-03-07,4,5,0,3,7
Arizona,2020-06-25,4,63297,1495,6,25
Arizona,2020-04-20,4,5064,191,4,20
Arizona,2020-03-26,4,508,8,3,26
Arizona,2020-04-22,4,5459,236,4,22
Arizona,2020-03-25,4,402,6,3,25
Arizona,2020-03-06,4,3,0,3,6
Arizona,2020-01-27,4,1,0,1,27
Arizona,2020-05-13,4,12176,594,5,13
Arizona,2020-01-28,4,1,0,1,28
Arizona,2020-07-31,4,174108,3695,7,31
Arizona,2020-07-19,4,143644,2768,7,19
Arizona,2020-05-24,4,16339,800,5,24
Arizona,2020-03-08,4,5,0,3,8
Arizona,2020-08-02,4,178473,3769,8,2
Arizona,2020-05-26,4,16783,807,5,26
Arizona,2020-06-27,4,70152,1581,6,27
Arizona,2020-05-23,4,16040,799,5,23
Arizona,2020-07-07,4,105159,1933,7,7
Arizona,2020-05-25,4,16561,806,5,25
Arizona,2020-05-12,4,11736,562,5,12
Arizona,2020-05-27,4,17262,831,5,27
Arizona,2020-01-26,4,1,0,1,26
Arizona,2020-05-06,4,9707,426,5,6
Arizona,2020-07-20,4,145320,2795,7,20
Arizona,2020-08-09,4,187086,4152,8,9
Arizona,2020-04-13,4,3702,122,4,13
Arizona,2020-04-21,4,5251,213,4,21
Arizona,2020-05-05,4,9305,395,5,5
Arkansas,2020-07-08,5,25246,305,7,8
Arkansas,2020-07-19,5,33228,357,7,19
Arkansas,2020-08-05,5,46293,508,8,5
Arkansas,2020-08-19,5,54216,631,8,19
Arkansas,2020-03-16,5,22,0,3,16
Arkansas,2020-07-02,5,22075,279,7,2
Arkansas,2020-08-21,5,55652,663,8,21
Arkansas,2020-08-15,5,51992,600,8,15
Arkansas,2020-05-08,5,3747,88,5,8
Arkansas,2020-08-06,5,47028,515,8,6
Arkansas,2020-06-23,5,16678,237,6,23
Arkansas,2020-04-02,5,683,12,4,2
Arkansas,2020-04-25,5,2909,48,4,25
Arkansas,2020-08-23,5,56574,687,8,23
Arkansas,2020-06-16,5,13191,188,6,16
Arkansas,2020-03-20,5,100,0,3,20
Arkansas,2020-03-17,5,22,0,3,17
Arkansas,2020-07-21,5,34655,374,7,21
Arkansas,2020-04-05,5,853,16,4,5
Arkansas,2020-06-05,5,8651,152,6,5
Arkansas,2020-05-29,5,6777,132,5,29
Arkansas,2020-03-24,5,231,2,3,24
Arkansas,2020-03-14,5,9,0,3,14
Arkansas,2020-04-03,5,738,12,4,3
